customer_id,full_name,national_id,age,employment_status,income_monthly,credit_score
10089,Customer 88,9274648506V,30,unemployed,31917,512
10090,Customer 89,9497478786V,40,retired,58326,661
10091,Customer 90,9481469012V,36,unemployed,10000,560
10092,Customer 91,9324956459V,45,student,24097,500
10093,Customer 92,9819595113V,28,employed,127148,786
10094,Customer 93,9386665249V,32,employed,169169,680
10095,Customer 94,9853573823V,31,retired,72062,739
10096,Customer 95,9833953718V,20,business,91957,613
10097,Customer 96,9795822698V,38,employed,219408,723
10098,Customer 97,9176667861V,38,employed,130591,728
10099,Customer 98,9754049436V,35,unemployed,32754,616
10100,Customer 99,9781802744V,33,self,92414,774
10101,Customer 100,9283758720V,21,employed,141334,647
10102,Customer 101,9673528321V,31,self,141973,649
10103,Customer 102,9882893941V,32,employed,168728,629
10104,Customer 103,9362863730V,27,employed,162295,674
10105,Customer 104,9275452091V,33,employed,154888,720
10106,Customer 105,9596348124V,39,employed,107397,717
10107,Customer 106,9507437181V,54,retired,48565,788
10108,Customer 107,9389854268V,37,employed,133304,709
10109,Customer 108,9787194506V,38,retired,78663,690
10110,Customer 109,9838908273V,34,contract,81091,574
10111,Customer 110,9698020238V,18,employed,162607,732
10112,Customer 111,9335809993V,35,business,276209,661
10113,Customer 112,9835098955V,36,self,54184,713
10114,Customer 113,9448195935V,60,contract,56523,615
10115,Customer 114,9924970419V,33,employed,114385,752
10116,Customer 115,9933223566V,38,business,184609,693
10117,Customer 116,9160062915V,35,government,124263,760
10118,Customer 117,9345938494V,23,employed,174088,703
10119,Customer 118,9982403818V,46,employed,136963,624
10120,Customer 119,9134467368V,43,business,163156,648
10121,Customer 120,9964411347V,43,student,10000,503
10122,Customer 121,9438715135V,26,employed,67367,691
10123,Customer 122,9530747414V,49,business,182481,582
10124,Customer 123,9387484583V,21,employed,34696,698
10125,Customer 124,9171069472V,41,student,45190,363
10126,Customer 125,9326541099V,57,employed,113674,729
10127,Customer 126,9709004943V,25,contract,219724,574
10128,Customer 127,9870854579V,29,employed,212317,623
10129,Customer 128,9437882805V,36,employed,112742,762
10130,Customer 129,9328306011V,30,employed,115747,699
10131,Customer 130,9803771909V,19,employed,159823,731
10132,Customer 131,9636045484V,36,self,185159,600
10133,Customer 132,9524806516V,24,employed,54479,738
10134,Customer 133,9790256940V,40,retired,24272,682
10135,Customer 134,9592688426V,26,employed,95119,687
10136,Customer 135,9253407200V,50,employed,143310,769
10137,Customer 136,9384412919V,27,employed,139875,610
10138,Customer 137,9249926919V,32,employed,162791,735
10139,Customer 138,9364814270V,43,employed,72012,703
10140,Customer 139,9899925830V,23,employed,27354,667
10141,Customer 140,9702764446V,37,self,142901,594
10142,Customer 141,9678722458V,48,employed,86872,667
10143,Customer 142,9382116655V,19,government,79445,651
10144,Customer 143,9902099969V,37,government,144352,771
10145,Customer 144,9727694430V,38,employed,151727,686
10146,Customer 145,9560027313V,43,self,93897,619
10147,Customer 146,9726563708V,23,unemployed,15422,474
10148,Customer 147,9528853029V,22,self,92032,632
10149,Customer 148,9488690725V,40,business,130353,744
10150,Customer 149,9335493870V,38,employed,66078,687
10151,Customer 150,9248532577V,38,retired,45706,679
10152,Customer 151,9647099690V,38,retired,70426,792
10153,Customer 152,9629908599V,28,self,116084,635
10154,Customer 153,9197613238V,37,unemployed,21681,512
10155,Customer 154,9911514914V,38,employed,80194,704
10156,Customer 155,9150590821V,28,employed,112740,705
10157,Customer 156,9217734861V,54,retired,16459,655
10158,Customer 157,9264112119V,40,retired,63570,642
10159,Customer 158,9773715057V,23,employed,177154,767
10160,Customer 159,9271779360V,42,employed,61035,654
10161,Customer 160,9950488739V,25,employed,96563,593
10162,Customer 161,9830661141V,43,employed,133164,692
10163,Customer 162,9553290810V,47,retired,85057,744
10164,Customer 163,9740389325V,27,self,77589,649
10165,Customer 164,9168212356V,45,employed,92310,712
10166,Customer 165,9513140753V,39,employed,41243,617
10167,Customer 166,9509760584V,43,employed,124138,718
10168,Customer 167,9739830322V,54,employed,201683,623
10169,Customer 168,9602564736V,33,business,182189,688
10170,Customer 169,9668132202V,27,unemployed,19777,606
10171,Customer 170,9369953851V,26,retired,66442,696
10172,Customer 171,9694021782V,27,employed,119556,606
10173,Customer 172,9112327652V,34,contract,57479,568
10174,Customer 173,9830448745V,38,retired,76466,786
10175,Customer 174,9873869166V,38,retired,64515,644
10176,Customer 175,9222998994V,43,self,100881,706
10177,Customer 176,9831980933V,35,employed,80985,687
10178,Customer 177,9676567501V,50,employed,172140,620
10179,Customer 178,9906248900V,32,employed,146588,648
10180,Customer 179,9386501362V,62,employed,97883,782
10181,Customer 180,9925276600V,41,employed,160073,850
10182,Customer 181,9788227492V,26,self,75121,641
10183,Customer 182,9465260635V,24,student,18270,557
10184,Customer 183,9219778234V,40,self,62015,562
10185,Customer 184,9415143362V,33,employed,49157,581
10186,Customer 185,9566825638V,42,unemployed,24715,509
10187,Customer 186,9269820594V,40,contract,16754,613
10188,Customer 187,9587182120V,34,retired,35431,688
10189,Customer 188,9103484630V,27,unemployed,10000,601
10190,Customer 189,9875340444V,20,government,137418,713
10191,Customer 190,9872751234V,31,unemployed,18497,602
10192,Customer 191,9382811832V,44,employed,106932,643
10193,Customer 192,9637500247V,37,employed,78297,676
10194,Customer 193,9918150683V,23,employed,73111,658
10195,Customer 194,9291825997V,37,employed,138575,604
10196,Customer 195,9645119047V,39,employed,97978,562
10197,Customer 196,9214257751V,26,government,149491,660
10198,Customer 197,9771410971V,37,retired,42295,541
10199,Customer 198,9420452650V,36,government,145432,632
10200,Customer 199,9786066793V,24,employed,172131,713
10201,Customer 200,9645098869V,39,retired,71723,701
10202,Customer 201,9753876785V,41,business,127007,671
10203,Customer 202,9313579170V,46,employed,130288,751
10204,Customer 203,9264109919V,46,business,140747,626
10205,Customer 204,9501486939V,21,employed,120315,721
10206,Customer 205,9918739736V,26,employed,106976,632
10207,Customer 206,9273461957V,40,contract,83427,657
10208,Customer 207,9679153816V,40,employed,128484,689
10209,Customer 208,9936043811V,40,self,50332,672
10210,Customer 209,9669462919V,70,contract,49365,617
10211,Customer 210,9100614068V,41,student,10000,599
10212,Customer 211,9743111853V,46,employed,55989,704
10213,Customer 212,9448059918V,45,employed,71309,594
10214,Customer 213,9624636385V,42,employed,126379,731
10215,Customer 214,9120912992V,32,business,88577,596
10216,Customer 215,9220117054V,43,employed,140545,627
10217,Customer 216,9489747629V,27,employed,121389,695
10218,Customer 217,9992994062V,33,unemployed,10000,596
10219,Customer 218,9966267851V,30,self,132749,673
10220,Customer 219,9430190783V,36,employed,152432,700
10221,Customer 220,9357109965V,58,self,50307,592
10222,Customer 221,9162196678V,18,business,193615,639
10223,Customer 222,9358633898V,42,employed,85740,557
10224,Customer 223,9709194872V,19,employed,123907,625
10225,Customer 224,9184564737V,30,retired,34710,610
10226,Customer 225,9191969690V,46,self,10345,661
10227,Customer 226,9885879795V,36,government,128515,841
10228,Customer 227,9621828280V,24,employed,115051,726
10229,Customer 228,9976198296V,28,employed,104093,545
10230,Customer 229,9174316370V,42,employed,72639,589
10231,Customer 230,9916690353V,28,employed,104004,602
10232,Customer 231,9671988889V,37,employed,130772,575
10233,Customer 232,9922308461V,35,employed,118204,663
10234,Customer 233,9235034324V,28,retired,63650,704
10235,Customer 234,9237859287V,56,unemployed,13299,482
10236,Customer 235,9808402051V,41,retired,83434,677
10237,Customer 236,9610330567V,18,contract,42953,653
10238,Customer 237,9690347116V,37,employed,139502,722
10239,Customer 238,9277303722V,28,unemployed,31819,569
10240,Customer 239,9384602384V,44,employed,139236,700
10241,Customer 240,9666585408V,27,unemployed,17975,558
10242,Customer 241,9751325257V,34,unemployed,14717,499
10243,Customer 242,9554340903V,40,student,45541,532
10244,Customer 243,9327416584V,44,unemployed,10000,481
10245,Customer 244,9679064766V,23,government,110896,790
10246,Customer 245,9910959828V,32,employed,104098,592
10247,Customer 246,9883757514V,30,employed,169506,737
10248,Customer 247,9840739735V,28,government,151393,612
10249,Customer 248,9315984311V,53,employed,81278,726
10250,Customer 249,9865523129V,39,government,130691,758
10251,Customer 250,9434702822V,22,unemployed,13857,629
10252,Customer 251,9528414718V,44,employed,91608,618
10253,Customer 252,9821218382V,56,retired,79578,700
10254,Customer 253,9797801251V,45,contract,35130,604
10255,Customer 254,9500957212V,20,contract,154351,587
10256,Customer 255,9570406376V,30,unemployed,28282,563
10257,Customer 256,9655742829V,48,self,154543,709
10258,Customer 257,9584779555V,28,unemployed,15371,524
10259,Customer 258,9229927269V,39,retired,57001,710
10260,Customer 259,9366186631V,43,employed,62674,626
10261,Customer 260,9341266931V,26,self,73767,597
10262,Customer 261,9168747287V,34,student,37405,561
10263,Customer 262,9463016614V,18,employed,171843,664
10264,Customer 263,9122585366V,25,business,71427,710
10265,Customer 264,9731691672V,32,business,130760,595
10266,Customer 265,9694768704V,23,employed,113948,810
10267,Customer 266,9347083812V,51,government,98126,592
10268,Customer 267,9731832764V,21,retired,71827,704
10269,Customer 268,9336456621V,31,self,63800,643
10270,Customer 269,9107721109V,36,employed,112184,641
10271,Customer 270,9176228245V,49,employed,101922,669
10272,Customer 271,9860038427V,21,employed,88426,720
10273,Customer 272,9777641645V,47,contract,89718,690
10274,Customer 273,9163215224V,35,employed,111376,667
10275,Customer 274,9345824373V,25,business,130251,690
10276,Customer 275,9172370545V,40,employed,90862,600
10277,Customer 276,9133729406V,37,employed,132781,669
10278,Customer 277,9454794895V,29,retired,93072,714
10279,Customer 278,9176082500V,36,student,32098,443
10280,Customer 279,9652070932V,31,employed,159845,685
10281,Customer 280,9355555531V,36,employed,64391,670
10282,Customer 281,9399012686V,42,employed,126310,756
10283,Customer 282,9818309417V,51,self,45132,670
10284,Customer 283,9621209849V,23,business,41846,699
10285,Customer 284,9330035022V,56,employed,90425,664
10286,Customer 285,9678998028V,18,employed,167676,718
10287,Customer 286,9242068763V,33,employed,158001,714
10288,Customer 287,9876693898V,41,contract,99720,562
10289,Customer 288,9713152854V,38,unemployed,10000,579
10290,Customer 289,9718702544V,29,employed,112149,751
10291,Customer 290,9607526654V,33,retired,66034,749
10292,Customer 291,9360916298V,30,employed,127021,682
10293,Customer 292,9942478695V,29,employed,46248,699
10294,Customer 293,9607850824V,43,retired,42194,745
10295,Customer 294,9967043303V,39,contract,87437,572
10296,Customer 295,9537077308V,28,unemployed,25363,588
10297,Customer 296,9304451095V,44,government,74116,582
10298,Customer 297,9201281557V,38,employed,113515,732
10299,Customer 298,9204078666V,43,retired,62861,667
10300,Customer 299,9807577342V,41,employed,153984,675
10301,Customer 300,9562837684V,27,government,160786,667
10302,Customer 301,9480424119V,29,employed,143303,678
10303,Customer 302,9554814084V,42,business,96005,685
10304,Customer 303,9541417711V,41,employed,43680,725
10305,Customer 304,9601463916V,35,employed,104278,758
10306,Customer 305,9882839238V,36,contract,130065,643
10307,Customer 306,9158165865V,48,employed,175738,580
10308,Customer 307,9823019672V,29,self,135527,738
10309,Customer 308,9801642483V,40,employed,137174,592
10310,Customer 309,9793830224V,33,employed,135186,655
10311,Customer 310,9205675387V,33,employed,97755,651
10312,Customer 311,9165082363V,46,employed,114798,681
10313,Customer 312,9532311310V,43,contract,156763,564
10314,Customer 313,9881913386V,43,employed,82298,601
10315,Customer 314,9464323393V,48,unemployed,36148,559
10316,Customer 315,9959629660V,35,government,130339,652
10317,Customer 316,9217326729V,42,employed,173017,761
10318,Customer 317,9366992705V,32,government,97796,667
10319,Customer 318,9305718272V,38,self,129295,598
10320,Customer 319,9304235259V,34,retired,45265,790
10321,Customer 320,9675832441V,36,employed,63389,708
10322,Customer 321,9581695135V,41,employed,128741,843
10323,Customer 322,9250519597V,27,contract,130379,525
10324,Customer 323,9552991960V,56,contract,56202,652
10325,Customer 324,9297018781V,25,contract,30039,669
10326,Customer 325,9399085574V,23,employed,116326,682
10327,Customer 326,9596743109V,47,retired,58251,668
10328,Customer 327,9368227631V,43,self,127416,735
10329,Customer 328,9180943908V,41,self,147480,688
10330,Customer 329,9575808013V,41,employed,117623,579
10331,Customer 330,9967607278V,35,government,195665,648
10332,Customer 331,9690907304V,26,employed,128969,610
10333,Customer 332,9205128697V,36,employed,106143,673
10334,Customer 333,9154318806V,28,contract,25537,697
10335,Customer 334,9800235246V,45,employed,109494,657
10336,Customer 335,9680451872V,34,employed,106545,665
10337,Customer 336,9997677788V,27,employed,158412,621
10338,Customer 337,9115846122V,32,contract,108499,686
10339,Customer 338,9200140141V,39,self,41032,734
10340,Customer 339,9909134796V,29,employed,126890,678
10341,Customer 340,9353810544V,27,retired,73431,785
10342,Customer 341,9278575192V,37,retired,90561,657
10343,Customer 342,9536383774V,37,employed,155500,596
10344,Customer 343,9621453189V,30,business,220868,718
10345,Customer 344,9616854671V,30,retired,61202,684
10346,Customer 345,9329509408V,37,business,191065,635
10347,Customer 346,9530613729V,21,employed,169980,685
10348,Customer 347,9162959284V,21,contract,36689,545
10349,Customer 348,9276777762V,28,government,129517,595
10350,Customer 349,9506919288V,33,employed,89097,686
10351,Customer 350,9102314313V,38,employed,135166,706
10352,Customer 351,9519212169V,50,employed,169209,764
10353,Customer 352,9384759615V,44,employed,96121,733
10354,Customer 353,9941889393V,33,retired,12194,728
10355,Customer 354,9943026227V,35,employed,103511,756
10356,Customer 355,9588561518V,25,employed,156539,709
10357,Customer 356,9406284028V,35,self,126881,639
10358,Customer 357,9554200826V,32,employed,137127,735
10359,Customer 358,9847959430V,38,unemployed,17200,613
10360,Customer 359,9884374109V,27,employed,68839,680
10361,Customer 360,9941128035V,40,employed,140612,608
10362,Customer 361,9696751693V,50,employed,86629,573
10363,Customer 362,9810678904V,34,employed,207364,731
10364,Customer 363,9871385010V,39,employed,142820,709
10365,Customer 364,9622559454V,42,student,21290,617
10366,Customer 365,9266211829V,31,unemployed,13886,613
10367,Customer 366,9303901283V,37,employed,116282,626
10368,Customer 367,9418587604V,35,business,140840,557
10369,Customer 368,9333754555V,36,student,46753,611
10370,Customer 369,9162795957V,27,retired,63728,762
10371,Customer 370,9721890096V,35,employed,90735,701
10372,Customer 371,9889991777V,40,employed,195618,591
10373,Customer 372,9682177668V,50,employed,121972,694
10374,Customer 373,9165452690V,45,student,41533,513
10375,Customer 374,9903132646V,57,retired,47835,597
10376,Customer 375,9436730606V,27,employed,134525,680
10377,Customer 376,9161380746V,44,employed,132444,690
10378,Customer 377,9153839920V,37,contract,14414,634
10379,Customer 378,9727255918V,57,retired,100306,716
10380,Customer 379,9611947770V,27,unemployed,32906,513
10381,Customer 380,9639931481V,27,retired,52056,695
10382,Customer 381,9670292350V,29,employed,75909,651
10383,Customer 382,9269042105V,18,government,150427,685
10384,Customer 383,9161073976V,30,business,166936,686
10385,Customer 384,9645276696V,27,employed,134227,744
10386,Customer 385,9186019028V,37,government,145747,718
10387,Customer 386,9299528037V,38,student,37594,617
10388,Customer 387,9173574218V,54,employed,177892,681
10389,Customer 388,9738914080V,45,retired,71362,719
10390,Customer 389,9172972420V,29,government,108510,762
10391,Customer 390,9825003955V,26,unemployed,33626,673
10392,Customer 391,9352548261V,40,employed,185625,753
10393,Customer 392,9533550699V,22,employed,246082,677
10394,Customer 393,9228727266V,53,government,106295,769
10395,Customer 394,9711684318V,47,employed,129715,713
10396,Customer 395,9364371717V,30,student,10000,544
10397,Customer 396,9721609600V,18,retired,71063,724
10398,Customer 397,9738360085V,49,employed,98072,612
10399,Customer 398,9142672287V,34,self,196172,694
10400,Customer 399,9765055833V,47,self,61269,765
10401,Customer 400,9188029013V,19,employed,52433,729
10402,Customer 401,9550139320V,29,contract,71149,712
10403,Customer 402,9805849060V,35,retired,20490,667
10404,Customer 403,9726713347V,35,business,220088,699
10405,Customer 404,9706907788V,30,student,10000,622
10406,Customer 405,9661333669V,41,self,101423,642
10407,Customer 406,9439699535V,24,contract,10000,681
10408,Customer 407,9379995032V,34,business,134376,697
10409,Customer 408,9319321646V,36,student,54651,622
10410,Customer 409,9819112790V,40,contract,104426,578
10411,Customer 410,9869005091V,42,employed,85460,757
10412,Customer 411,9437352358V,24,retired,59376,717
10413,Customer 412,9356287095V,20,employed,120721,673
10414,Customer 413,9385201412V,48,employed,138905,674
10415,Customer 414,9524971817V,38,employed,65326,678
10416,Customer 415,9240529481V,28,unemployed,25926,510
10417,Customer 416,9821221887V,51,contract,10000,711
10418,Customer 417,9793101194V,36,student,20552,638
10419,Customer 418,9422119408V,47,student,22676,642
10420,Customer 419,9590941149V,36,government,159000,791
10421,Customer 420,9439492674V,56,contract,90905,651
10422,Customer 421,9907308348V,53,self,29722,561
10423,Customer 422,9177892576V,33,employed,80600,718
10424,Customer 423,9110002396V,45,employed,127947,715
10425,Customer 424,9592080329V,41,retired,58419,783
10426,Customer 425,9766964667V,49,student,21313,645
10427,Customer 426,9704509817V,25,employed,100767,688
10428,Customer 427,9207354053V,42,employed,147847,671
10429,Customer 428,9178663096V,46,retired,49646,750
10430,Customer 429,9677280546V,18,employed,116476,521
10431,Customer 430,9328872698V,23,student,62549,594
10432,Customer 431,9643189555V,18,unemployed,10000,617
10433,Customer 432,9384756779V,32,employed,45926,673
10434,Customer 433,9242224154V,42,employed,151344,657
10435,Customer 434,9474745382V,50,student,19820,598
10436,Customer 435,9173864104V,36,retired,53635,771
10437,Customer 436,9362298393V,51,government,116565,727
10438,Customer 437,9496776692V,21,unemployed,17402,519
10439,Customer 438,9406002884V,18,employed,183942,753
10440,Customer 439,9269379374V,34,self,140106,745
10441,Customer 440,9570497096V,39,student,42933,532
10442,Customer 441,9995226828V,35,contract,33351,808
10443,Customer 442,9683275843V,18,employed,73954,680
10444,Customer 443,9855420240V,34,retired,10000,747
10445,Customer 444,9424825305V,22,government,115719,744
10446,Customer 445,9756783995V,42,employed,158268,638
10447,Customer 446,9966616964V,39,employed,140678,653
10448,Customer 447,9802201721V,26,contract,81139,644
10449,Customer 448,9667945747V,30,employed,119108,568
10450,Customer 449,9108399996V,24,employed,92445,729
10451,Customer 450,9817112652V,34,employed,128190,566
10452,Customer 451,9977358886V,45,contract,120635,641
10453,Customer 452,9695499669V,25,business,30729,630
10454,Customer 453,9421455482V,40,retired,65993,725
10455,Customer 454,9812308209V,30,employed,157297,548
10456,Customer 455,9211225158V,27,government,127547,600
10457,Customer 456,9244193987V,34,government,161021,664
10458,Customer 457,9383968123V,25,retired,116293,721
10459,Customer 458,9223940587V,29,contract,85826,653
10460,Customer 459,9214929002V,23,employed,135732,743
10461,Customer 460,9897163846V,55,business,100955,676
10462,Customer 461,9694019365V,35,employed,127250,679
10463,Customer 462,9266910922V,28,government,153808,636
10464,Customer 463,9392431670V,37,employed,127794,667
10465,Customer 464,9402533494V,34,employed,79212,679
10466,Customer 465,9749431082V,33,employed,128254,557
10467,Customer 466,9326161867V,41,government,183866,647
10468,Customer 467,9870530217V,43,employed,137945,708
10469,Customer 468,9468164906V,30,student,44430,591
10470,Customer 469,9318610946V,29,employed,110520,665
10471,Customer 470,9838194420V,32,employed,149996,644
10472,Customer 471,9781007818V,18,retired,65585,585
10473,Customer 472,9383450553V,20,employed,81964,549
10474,Customer 473,9642678844V,49,employed,132741,662
10475,Customer 474,9624557080V,51,business,80664,759
10476,Customer 475,9369639388V,33,employed,94685,682
10477,Customer 476,9154544899V,41,employed,127573,741
10478,Customer 477,9199104722V,38,employed,131890,609
10479,Customer 478,9781057736V,66,contract,42431,657
10480,Customer 479,9554811020V,46,business,244319,628
10481,Customer 480,9990505735V,34,business,205761,625
10482,Customer 481,9397083132V,25,business,103622,715
10483,Customer 482,9147337803V,19,employed,58497,673
10484,Customer 483,9103807155V,37,employed,114204,597
10485,Customer 484,9458153605V,27,retired,51081,696
10486,Customer 485,9927982963V,21,employed,124526,637
10487,Customer 486,9240466536V,29,employed,105475,593
10488,Customer 487,9784095277V,24,employed,39702,620
10489,Customer 488,9381272327V,52,employed,104466,803
10490,Customer 489,9273497327V,44,unemployed,16944,633
10491,Customer 490,9895890631V,35,employed,145346,559
10492,Customer 491,9574417266V,50,self,65090,649
10493,Customer 492,9692362342V,36,employed,187147,673
10494,Customer 493,9857704655V,26,unemployed,10000,544
10495,Customer 494,9559225330V,50,employed,172447,640
10496,Customer 495,9702269164V,40,employed,111027,725
10497,Customer 496,9110382761V,25,student,42894,637
10498,Customer 497,9220123666V,33,student,31197,643
10499,Customer 498,9180792472V,26,employed,165582,700
10500,Customer 499,9841976666V,21,employed,104506,717
10501,Customer 500,9260045822V,44,employed,76055,659
10502,Customer 501,9685823118V,54,employed,176820,585
10503,Customer 502,9138684919V,21,employed,115461,584
10504,Customer 503,9996139578V,41,self,111078,609
10505,Customer 504,9496442646V,28,employed,169390,668
10506,Customer 505,9725464884V,30,employed,78722,603
10507,Customer 506,9693269304V,29,business,207639,602
10508,Customer 507,9259014493V,26,unemployed,14101,537
10509,Customer 508,9561479973V,35,government,136035,752
10510,Customer 509,9236843584V,27,employed,122891,700
10511,Customer 510,9144913399V,38,employed,59991,628
10512,Customer 511,9430989881V,34,unemployed,12212,563
10513,Customer 512,9491541578V,33,employed,174043,600
10514,Customer 513,9954829815V,26,employed,155448,628
10515,Customer 514,9142836793V,29,government,138121,601
10516,Customer 515,9484194737V,43,government,147294,726
10517,Customer 516,9325567963V,40,business,136461,653
10518,Customer 517,9832363533V,25,employed,174263,671
10519,Customer 518,9367930513V,36,employed,111986,728
10520,Customer 519,9816114302V,43,unemployed,22318,500
10521,Customer 520,9210373808V,18,employed,165841,708
10522,Customer 521,9479759538V,40,business,97810,789
10523,Customer 522,9937643439V,28,student,53382,521
10524,Customer 523,9701170349V,41,government,94086,606
10525,Customer 524,9536344399V,27,employed,185186,605
10526,Customer 525,9766430218V,18,employed,105093,703
10527,Customer 526,9904745462V,19,government,132719,805
10528,Customer 527,9265950383V,35,contract,14400,742
10529,Customer 528,9354194771V,38,contract,71808,691
10530,Customer 529,9274484941V,26,employed,78408,733
10531,Customer 530,9958872154V,41,employed,95694,708
10532,Customer 531,9970559510V,18,contract,84508,684
10533,Customer 532,9290108532V,34,student,44367,598
10534,Customer 533,9542697755V,23,contract,98304,592
10535,Customer 534,9126614158V,28,employed,132307,783
10536,Customer 535,9292587044V,35,government,107134,780
10537,Customer 536,9890880074V,26,student,16789,533
10538,Customer 537,9456681425V,31,business,303898,709
10539,Customer 538,9940081098V,45,employed,90592,768
10540,Customer 539,9542073642V,29,employed,186248,705
10541,Customer 540,9961393416V,43,government,132708,688
10542,Customer 541,9819307302V,24,employed,120092,766
10543,Customer 542,9889262019V,40,self,153518,675
10544,Customer 543,9970535450V,49,unemployed,32719,522
10545,Customer 544,9366467544V,18,employed,115567,611
10546,Customer 545,9386480450V,27,retired,52235,514
10547,Customer 546,9270937380V,41,employed,117763,798
10548,Customer 547,9945436943V,33,business,187037,620
10549,Customer 548,9852991721V,39,unemployed,28913,618
10550,Customer 549,9216066793V,29,employed,120169,625
10551,Customer 550,9510751046V,36,employed,144755,690
10552,Customer 551,9141580226V,33,employed,185534,707
10553,Customer 552,9605399561V,47,employed,135252,606
10554,Customer 553,9338836384V,38,student,34675,637
10555,Customer 554,9314289692V,38,contract,29244,628
10556,Customer 555,9976803188V,31,employed,14771,713
10557,Customer 556,9594246837V,30,employed,135535,767
10558,Customer 557,9475442872V,31,employed,116207,724
10559,Customer 558,9427696198V,39,student,22278,574
10560,Customer 559,9981044229V,31,employed,129741,797
